Endpoint,Method,File
/api/v1/admin/plans/stats,GET,AdminBillingController.cs
/api/v1/admin/plans,GET,AdminBillingController.cs
/api/v1/admin/plans/create,POST,AdminBillingController.cs
/api/v1/admin/plans/{pk},GET,AdminBillingController.cs
/api/v1/admin/plans/{pk},PUT,AdminBillingController.cs
/api/v1/admin/plans/{pk}/toggle,PATCH,AdminBillingController.cs
/api/v1/admin/plans/{pk},DELETE,AdminBillingController.cs
/api/v1/admin/plans/{pk}/students,GET,AdminBillingController.cs
/api/v1/admin/memberships/expiring,GET,AdminBillingController.cs
/api/v1/admin/memberships/expired-today,GET,AdminBillingController.cs
/api/v1/admin/memberships/assign,POST,AdminBillingController.cs
/api/v1/admin/memberships/renew,POST,AdminBillingController.cs
/api/v1/admin/memberships/upgrade,POST,AdminBillingController.cs
/api/v1/admin/memberships,GET,AdminBillingController.cs
/api/v1/admin/memberships/{pk},GET,AdminBillingController.cs
/api/v1/admin/payments/summary,GET,AdminBillingController.cs
/api/v1/admin/payments/pending,GET,AdminBillingController.cs
/api/v1/admin/payments/overdue,GET,AdminBillingController.cs
/api/v1/admin/payments,GET,AdminBillingController.cs
/api/v1/admin/payments,POST,AdminBillingController.cs
/api/v1/admin/payments/{pk},GET,AdminBillingController.cs
/api/v1/admin/payments/{pk}/verify,POST,AdminBillingController.cs
/api/v1/admin/payments/{pk}/refund,POST,AdminBillingController.cs
/api/v1/admin/payments/{pk},PUT,AdminBillingController.cs
/api/v1/admin/payments/{pk}/receipt,GET,AdminBillingController.cs
/api/v1/admin/profile,GET,AdminDashboardController.cs
/api/v1/admin/api/v1/dashboard/stats,GET,AdminDashboardController.cs
/api/v1/admin/api/v1/dashboard/stats/{section},GET,AdminDashboardController.cs
/api/v1/admin/api/v1/dashboard/charts/{domain}/{chart},GET,AdminDashboardController.cs
/api/v1/admin/api/v1/dashboard/activity/recent,GET,AdminDashboardController.cs
/api/v1/admin/api/v1/dashboard/activity/log,GET,AdminDashboardController.cs
/api/v1/admin/api/v1/dashboard/activity/export,GET,AdminDashboardController.cs
/api/v1/admin/api/v1/dashboard/alerts,GET,AdminDashboardController.cs
/api/v1/admin/search,GET,AdminDashboardController.cs
/api/v1/admin/settings,GET,AdminDashboardController.cs
/api/v1/admin/inbox,GET,AdminDashboardController.cs
/api/v1/admin/inbox/{pk},GET,AdminDashboardController.cs
/api/v1/admin/inbox/{pk}/{action},POST,AdminDashboardController.cs
/api/v1/admin/qr/current,GET,AdminOperationsController.cs
/api/v1/admin/qr/history,GET,AdminOperationsController.cs
/api/v1/admin/qr/generate,POST,AdminOperationsController.cs
/api/v1/admin/qr/regenerate,POST,AdminOperationsController.cs
/api/v1/admin/qr/expire,POST,AdminOperationsController.cs
/api/v1/admin/qr/{pk},DELETE,AdminOperationsController.cs
/api/v1/admin/qr/clear-all,DELETE,AdminOperationsController.cs
/api/v1/admin/qr/{pk}/scans,GET,AdminOperationsController.cs
/api/v1/admin/holidays,GET,AdminOperationsController.cs
/api/v1/admin/holidays/{pk},GET,AdminOperationsController.cs
/api/v1/admin/attendance/daily-summary,GET,AdminOperationsController.cs
/api/v1/admin/attendance/absentees,GET,AdminOperationsController.cs
/api/v1/admin/attendance/streak,GET,AdminOperationsController.cs
/api/v1/admin/attendance/manual,POST,AdminOperationsController.cs
/api/v1/admin/attendance,GET,AdminOperationsController.cs
/api/v1/admin/attendance/{pk},GET,AdminOperationsController.cs
/api/v1/admin/seats/layout,GET,AdminOperationsController.cs
/api/v1/admin/seats/release-all,POST,AdminOperationsController.cs
/api/v1/admin/seats/reserve-bulk,POST,AdminOperationsController.cs
/api/v1/admin/seats/available,GET,AdminOperationsController.cs
/api/v1/admin/seats/stats,GET,AdminOperationsController.cs
/api/v1/admin/seats,POST,AdminOperationsController.cs
/api/v1/admin/seats/{pk},DELETE,AdminOperationsController.cs
/api/v1/admin/seats,GET,AdminOperationsController.cs
